File,Total Points,True Hillfort Points,Predicted Hillfort Points,Correct Predictions,Recall,Precision
577646_2022_tava.laz,20520,254,1684,52,0.2047244094488189,0.030878859857482184
477444_2021_tava.laz,20520,240,1773,28,0.11666666666666667,0.015792442188381276
591669_2022_tava.laz,20520,255,1724,37,0.1450980392156863,0.021461716937354988
437647_2023_tava.laz,21021,268,1803,32,0.11940298507462686,0.01774819744869662
535554_2024_tava.laz,20520,257,1832,50,0.19455252918287938,0.027292576419213975
431611_2023_tava.laz,21826,274,1890,48,0.17518248175182483,0.025396825396825397
503569_2024_tava.laz,20520,282,1689,44,0.15602836879432624,0.02605091770278271
458644_2023_tava.laz,21280,252,1802,51,0.20238095238095238,0.02830188679245283
510600_2022_tava.laz,21280,247,1834,45,0.18218623481781376,0.024536532170119956
428638_2023_tava.laz,21840,254,1804,27,0.1062992125984252,0.014966740576496674
444670_2023_tava.laz,21060,259,1805,52,0.20077220077220076,0.028808864265927978
529647_2022_tava.laz,21280,264,1883,47,0.17803030303030304,0.02496016994158258
596651_2022_tava.laz,21266,258,1816,47,0.1821705426356589,0.025881057268722467
494505_2021_tava.laz,21840,254,1873,46,0.18110236220472442,0.024559530165509876
590680_2022_tava.laz,21840,260,1856,33,0.12692307692307692,0.017780172413793104
493520_2021_tava.laz,21840,260,1878,41,0.1576923076923077,0.021831735889243878
434635_2023_tava.laz,21055,267,1828,31,0.11610486891385768,0.016958424507658644
495483_2021_tava.laz,21060,224,1783,29,0.12946428571428573,0.016264722378014584
577645_2022_tava.laz,21060,252,1783,31,0.12301587301587301,0.017386427369601793
458643_2023_tava.laz,21280,232,1831,35,0.15086206896551724,0.019115237575095576
451700_2023_tava.laz,20520,249,1751,39,0.1566265060240964,0.02227298686464877
536494_2024_tava.laz,21820,271,1801,40,0.14760147601476015,0.02220988339811216
463591_2021_tava.laz,20520,249,1788,36,0.14457831325301204,0.020134228187919462
564508_2024_tava.laz,21060,248,1869,58,0.23387096774193547,0.03103263777421081
485403_2021_tava.laz,21840,282,1775,48,0.1702127659574468,0.027042253521126762
441622_2023_tava.laz,21840,287,1831,54,0.18815331010452963,0.02949208083014746
490588_2021_tava.laz,21060,285,1774,46,0.16140350877192983,0.02593010146561443
