Linnamägi,Ruudunumber,Lisainfo,INSPIRE id,INSPIRE nimi,
Mõrgi linnamägi,422683,"ruudu all vasakul nurgas, kaardil ka kui Kuningamägi",mka_10078326,Linnus,
Naanu linnus,478598,"ruudu keskel, kaardil ka kui Tantsimägi",mka_10080631,Linnus,
Narva Joaoru linnamägi,588739,pole kaardilt tuvastatav,mka_10084242,Kindlustatud asula,
Neeruti sadulamägi,576620,Eesjärve all,mka_10079233,"Linnus ""Sadulamägi""",
Nurkse linnamägi,"577646, 577645",ruudu üleval vasakul nurgas,mka_10084192,Linnus,
Oandimägi,442647,"ruudu üleval vasakul nurgas, kaardil ka kui Uandi mägi",mka_10080016,"Linnus ""Uandimägi"", ""Käpa Munamägi""",
Otepää muinaslinnus,437647,kaardil ka kui Otepää piiskopilinnus,mka_10080015,"Linnus ""Otepää linnamägi""",
Owele linnus,,asukoht teadmata,,,
Paatsa maalinn,485403,ruudu üleval keskel,mka_10076512,Linnus,
Pada linnus,591653,kaardil ka kui Pada linnamägi,mka_10077027,Linnus,
Pada II linnus,591653,"sama ruut, mis eelime, aga all pool (Jõekäänaku kaardil)",mka_10084403,Linnus,
Padise linnus,564508,kaardil ka kui Vana Linnamägi,mka_12674179,"Linnus ""Vana-Linnamägi""",
Paehalle linnus,,täpne asukoht teadmata,,,
Palivere linnus,536494,"nõlva vasak alumine nurk, näha valle, kaardil ""Vallidepealne""",mka_10082477,Linnus,
Peedu linnus,458643,kaardil ka kui Kerikmägi,mka_10076562,"Linnus ""Peedu Kerikmägi""",
Pidula maalinn,477392,,mka_10080105,Linnus,
Pikasilla linnus,441622,Vooremägi,mka_10078225,"Linnus ""Vooremägi""",
Punamäe linnus e. Äntu linnus,551630,pmst ruudu kujuline,mka_11161995,Ohvrikoht Hiiemägi / Ugurimägi,?
Purtsa maalinn e. Kooljamägi,"486416, 486417, 485417, 485416",,mka_10083720,Linnus,
Purtse Tarakalda linnus,"589670, 589671",,mka_10079686,"Linnus ""Tarakallas""",
Purtse Taramägi,591669,,mka_10084197,"Linnus ""Taramägi""",
Pöide maalinn,485442,,mka_10076528,"Linnus ""Pöide maalinn"", ""Kahutsi maalinn""",
Päälda maalinn,498454,,mka_10080585,Linnus,
Raja Ummumägi,537656,,,,
Rake linnus,"539629, 539630",,mka_10077692,"Linnus ""Rakkemägi""",
Reastvere linnamägi,"530647, 530648, 529647, 529648","ruudu alla paremas nurgas, kaardil ka kui Kalevipoja säng",mka_10555618,Linnus,
Ridala kindlustatud asula,479443,,mka_10082868,Kindlustatud asula,
Ripuka linnamägi,524633,"ruudu üleval paremas nurgas, kaardil ka kui punamäe",mka_10080901,"Linnus ""Ripuka Punamägi""",
Risu-Suurküla linnamägi,541530,,mka_10078520,Linnus,
Riole linnus,,asukoht teadmata,,,
Roela linnamägi,561647,"kaart osutas sinna, kuid näha seal midagi pole",,,
Roela I linnamägi,510600,kaardil ka kui kalevipoja säng,mka_10084433,Linnus,
Roela II linnamägi,"511660, 510660",,mka_10080034,Linnus,
Rosma linnus,437681,kaardil ka kui Liinamägi,mka_10079576,Linnus,
Rõuge linnamägi,402674,,mka_12660494,Linnus,
Saadjärve linnamägi,491658,kaardil ka kui Kalevipoja säng,mka_10079301,"Linnus ""Kalevipoja säng""",
Salevere linnus,485481,"pole kaardil märgitud, kuid ilmselt paremal üleval",,,
Sangaste linnamägi,428638,,mka_10082680,"Linnus ""Sangaste linnamägi""",
Sinialliku linnamägi,"464590, 464591, 463591, 463590",,mka_10077481,Linnus,
Somelinde linnus,,asukoht teadmata,,,
Soontagana maalinn,502509,,mka_10076784,"Linnus ""Soontagana maalinn""",
Sõtke linnus e. Sõtküla linnus,529522,kaardil ka kui Kantsimägi,mka_10084041,"Linnus ""Kantsimägi""",
Talimäe linnus,407676,"järve kohal olev küngas, kaardil kui Liinamägi",mka_10084303,Linnus,
Tammiku linnamägi,541634,"keskel üleval, viiumäe paremal, väike auk keskel",mka_10083411,"Linnus ""Rahaaugumägi""",
Tarakvere linnamägi,520661,,mka_10081250,"Linnus ""Linnutajamägi""",
Tartu linnus,,uuemate aegade poolt ära nussitud,?mka_10082547,?Linnus,
Tarvanpää linnus,581633,rakvere linnus,mka_10076692,"Linnus ""Vallimägi""",
Tilleoru Kantsimägi e. Matsikants,433672,,mka_10083778,"Linnus ""Tilleoru kantsimägi"", ""Maakants"", ""Matsikants""",
Toolse linnamägi,600639,kaardil olevast linnamäe kirjast ülal,mka_10082071,Linnus,
Toolse Ussimägi,600638,,mka_10077469,Linnus,
Truuta linnamägi,,ei leia kaardilt,,,
Tubrilinn,"526478, 525478",vähesel määral ka 525478,mka_10081054,"Linnus ""Tubrilinn""",
Tõrva linnamägi,429613,,mka_10084405,"Linnus ""Tõrva Tantsumägi""",
Unipuha linnus,459654,all vasakul nurgas,mka_10080433,Linnus,", ?458654"
Vahastu linnamägi,534572,paremal üleval nurgas,mka_10082783,"Linnus ""Vahastu linnamägi""",
Valjala maalinn,473429,,mka_10076565,Linnus,
Varbola Jaanilinn,544529,,mka_10077354,"Linnus ""Varbola Jaanilinn""",
Varangu linnus,595633,"täpselt ei saa aru, aga ilmselt see kaarjas moodustis",,,
Vareste linnamägi,431689,"Vokioru juures jõe ida kaldal, pisike piklik küngas",,,
Vehrulitsa linnamägi,427716,"all vasakul nurgas Petserimägi, täpset asukohta ei tuvasta",,,
Vilina linnamägi,516644,Kalevipoja säng,mka_10080174,Linnus,
Viljandi muinaslinnus,469593,"praegune viljandi ordulinnus, meile vast ei kõlba enam",,,
Virussaare linnusease,"494520, 493520",,mka_10080021,Pelgupaik,
Vooru linnamägi,444615,,mka_10077213,"Linnus ""Vooru linnamägi""",
Võuküla linnus Võhma maalinn,489404,,mka_10079513,Linnus,
Helme linnus,"432611, 432610, 431610, 431611",,mka_10080406,Helme mõisa park,
Kirumpää linnus,417677,,mka_10083644,Asulakoht,
